n_epochs,losses,color_1,color_2,color_3,color_4,color_5,color_6,color_7,color_8,color_9,color_10,color_11,color_12,color_13,color_14,color_15,color_16,color_17,color_18,color_19,color_20
55,0.099610724,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
56,0.091766149,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
57,0.084676117,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
58,0.07821504,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
59,0.072407208,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
60,0.067118563,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
61,0.062333107,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
62,0.057991609,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
63,0.054049928,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
64,0.050469711,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
65,0.047216032,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
66,0.044250697,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
67,0.041552637,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
68,0.039095502,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
69,0.036855739,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
70,0.034799237,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
71,0.032918781,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
72,0.031196157,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
73,0.02961289,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
74,0.02815681,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
75,0.026817804,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
76,0.025584405,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
77,0.024444433,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
78,0.023391107,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
79,0.022413323,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
80,0.021504648,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
81,0.020661291,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
82,0.019876327,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
83,0.019145491,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
84,0.018462362,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
85,0.017823119,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
